,Dust,7Be,137Cs,210Pb,40K,22Na,134Cs
2010-01-04,,,,,,,
2010-01-11,,,,,,,
2010-01-18,,,,,,,
2010-01-25,,,,,,,
2010-02-01,,,,,,,
2010-02-08,,,,,,,
2010-02-15,,,,,,,
2010-02-22,,,,,,,
2010-03-01,,,,,,,
2010-03-08,,,,,,,
2010-03-15,,,,,,,
2010-03-22,,,,,,,
2010-03-29,,,,,,,
2010-04-05,,,,,,,
2010-04-12,,,,,,,
2010-04-19,,,,,,,
2010-04-26,,,,,,,
2010-05-03,,,,,,,
2010-05-10,,,,,,,
2010-05-17,,,,,,,
2010-05-24,,,,,,,
2010-05-31,,,,,,,
2010-06-07,,,,,,,
2010-06-14,,,,,,,
2010-06-21,,,,,,,
2010-06-28,,,,,,,
2010-07-05,,,,,,,
2010-07-12,,,,,,,
2010-07-19,,,,,,,
2010-07-26,,,,,,,
2010-08-02,,,,,,,
2010-08-09,,,,,,,
2010-08-16,5.0,1308.0,0.574,70.0,4.73,8.52,
2010-08-23,61.0,1232.0,0.489,65.6,4.31,5.61,
2010-08-30,30.0,336.0,0.507,48.1,5.1,2.6,
2010-09-06,43.0,1198.0,0.233,78.3,2.94,3.74,
2010-09-13,13.0,940.0,0.54,45.7,6.82,3.68,
2010-09-20,58.0,754.0,0.423,59.3,4.8,3.65,
2010-09-27,19.0,688.0,0.463,30.6,,3.26,
2010-10-04,56.0,736.0,0.535,53.5,4.41,6.24,
2010-10-11,8.0,618.0,0.219,37.7,2.03,6.87,
2010-10-18,16.0,944.0,0.38,54.1,2.97,1.68,
2010-10-25,25.0,704.0,0.593,33.1,3.83,5.12,
2010-11-01,0.0,742.0,0.184,31.0,2.35,3.38,
2010-11-08,55.0,468.0,0.318,35.0,1.87,5.11,
2010-11-15,12.0,626.0,0.264,44.4,4.58,2.93,
2010-11-22,28.0,466.0,0.22,37.7,3.5,3.42,
2010-11-29,42.0,550.0,0.366,23.3,2.97,4.24,
2010-12-06,53.0,,0.111,40.2,4.68,1.65,
2010-12-13,50.0,456.0,0.303,20.9,2.5,1.46,
2010-12-20,58.0,774.0,0.406,20.7,3.44,1.38,
2010-12-27,62.0,234.0,0.295,36.5,1.33,1.87,
2011-01-03,32.0,808.0,0.343,15.7,2.19,3.6,
2011-01-10,43.0,674.0,0.398,38.8,1.52,3.56,
2011-01-17,35.0,516.0,0.226,25.8,2.6,2.17,
2011-01-24,28.0,390.0,0.263,40.4,3.76,1.95,
2011-01-31,6.0,428.0,0.504,39.9,4.55,1.49,
2011-02-07,0.0,566.0,0.241,27.6,4.25,3.86,
2011-02-14,21.0,552.0,0.246,35.0,3.18,3.08,
2011-02-21,3.0,540.0,0.511,31.1,4.34,3.53,
2011-02-28,43.0,1058.0,0.168,40.9,5.02,3.52,
2011-03-07,42.0,512.0,0.407,45.5,1.23,3.94,
2011-03-14,30.0,1154.0,0.344,35.8,6.67,5.69,
2011-03-21,35.0,1326.0,0.642,40.0,5.01,4.15,
2011-03-28,63.0,834.0,0.312,44.0,6.54,5.45,
2011-04-04,47.0,1028.0,0.554,39.8,2.67,2.93,
2011-04-11,53.0,966.0,0.266,30.9,3.81,5.54,
2011-04-18,47.0,666.0,0.166,56.3,6.13,6.05,
2011-04-25,63.0,666.0,0.504,52.9,4.54,3.29,
2011-05-02,145.0,1066.0,0.375,45.4,2.75,6.75,
2011-05-09,18.0,1542.0,0.451,81.6,4.41,4.6,
2011-05-16,60.0,1256.0,0.554,31.3,7.8,8.15,
2011-05-23,34.0,430.0,0.707,73.6,6.58,4.13,
2011-05-30,21.0,1640.0,0.269,62.2,5.39,9.24,
2011-06-06,8.0,898.0,0.697,69.4,6.29,4.13,
2011-06-13,49.0,744.0,0.493,63.1,6.35,7.12,
2011-06-20,31.0,1840.0,0.29,92.4,9.36,5.5,
2011-06-27,6.0,1816.0,0.382,56.1,6.25,7.37,
2011-07-04,49.0,744.0,0.542,56.1,5.19,7.84,
2011-07-11,27.0,1312.0,0.248,29.8,8.51,4.88,
2011-07-18,32.0,912.0,0.745,50.3,5.23,4.39,
2011-07-25,24.0,1692.0,0.596,37.2,5.26,6.71,
2011-08-01,13.0,992.0,0.438,41.2,8.46,6.88,
2011-08-08,28.0,716.0,0.866,22.5,7.02,7.77,
2011-08-15,15.0,696.0,0.694,66.5,7.86,6.13,
2011-08-22,24.0,724.0,0.844,73.8,3.83,2.22,
2011-08-29,25.0,1228.0,0.435,35.2,7.12,3.85,
2011-09-05,55.0,808.0,0.306,58.7,6.63,6.8,
2011-09-12,5.0,1128.0,0.342,63.7,4.66,4.3,
2011-09-19,130.0,1430.0,0.491,74.6,2.09,5.47,
2011-09-26,37.0,1420.0,0.646,38.7,2.5,4.93,
2011-10-03,4.0,824.0,0.345,43.1,4.17,3.41,
2011-10-10,29.0,1322.0,0.45,56.3,4.12,3.0,
2011-10-17,18.0,898.0,0.35,49.9,1.5,4.32,
2011-10-24,47.0,694.0,0.416,15.3,1.65,5.26,
2011-10-31,8.0,1078.0,0.23,28.6,4.56,4.23,
2011-11-07,7.0,660.0,0.528,51.8,3.25,4.95,
2011-11-14,46.0,524.0,0.403,40.1,1.82,1.18,
2011-11-21,0.0,412.0,0.261,27.1,2.86,2.16,
2011-11-28,13.0,842.0,0.475,17.8,2.43,4.14,
2011-12-05,40.0,526.0,0.154,20.5,2.7,2.71,
2011-12-12,47.0,600.0,0.379,29.7,3.08,2.73,
2011-12-19,53.0,470.0,0.129,29.9,1.87,3.82,
2011-12-26,32.0,748.0,0.319,30.5,3.05,3.06,
2012-01-02,33.0,554.0,0.156,26.8,1.79,1.69,
2012-01-09,116.0,348.0,0.397,24.7,2.09,3.33,
2012-01-16,25.0,570.0,0.158,19.7,1.81,4.17,
2012-01-23,26.0,886.0,0.419,41.2,2.91,2.44,
2012-01-30,35.0,306.0,0.445,27.5,2.26,3.47,
2012-02-06,17.0,920.0,0.423,29.5,4.82,3.73,
2012-02-13,4.0,472.0,0.374,32.2,3.2,4.04,
2012-02-20,36.0,990.0,0.304,57.0,3.14,3.51,
2012-02-27,25.0,1046.0,0.372,38.7,5.66,2.15,
2012-03-05,59.0,1042.0,0.568,68.2,4.39,3.2,
2012-03-12,27.0,1204.0,0.323,47.0,3.32,4.62,
2012-03-19,21.0,896.0,0.424,52.7,5.86,6.33,
2012-03-26,5.0,1046.0,0.249,44.6,5.98,5.7,
2012-04-02,40.0,,0.447,28.5,2.5,6.96,
2012-04-09,36.0,1332.0,0.691,50.9,4.54,6.68,
2012-04-16,16.0,788.0,0.395,24.7,4.13,6.18,
2012-04-23,21.0,1388.0,0.318,43.2,8.26,4.45,
